Year,max_temp,min_temp
1930,32.2,-5.6
1931,42.4,-20.0
1932,39.1,-19.8
1933,43.5,-26.1
1934,44.6,-17.2
1935,42.4,-26.1
1936,42.9,-27.2
1937,41.8,-39.8
1938,40.7,-32.0
1939,42.4,-27.8
1940,42.8,-36.1
1941,41.3,-35.0
1942,45.7,-42.5
1943,47.4,-51.4
1944,50.7,-48.6
1945,49.6,-49.2
1946,44.6,-55.9
1947,47.9,-63.6
1948,47.4,-53.3
1949,48.3,-57.2
1950,47.4,-58.9
1951,50.6,-52.8
1952,49.4,-57.5
1953,48.9,-50.6
1954,48.9,-53.6
1955,50.0,-51.4
1956,48.5,-53.1
1957,48.9,-74.2
1958,48.9,-74.2
1959,47.2,-76.9
1960,49.0,-76.7
1961,48.9,-73.6
1962,47.8,-74.7
1963,48.9,-77.3
1964,46.1,-72.2
1965,48.9,-80.6
1966,48.9,-75.5
1967,47.8,-76.1
1968,48.9,-80.0
1969,46.7,-78.3
1970,47.4,-75.0
1971,45.6,-74.2
1972,46.1,-73.6
1973,51.0,-73.1
1974,49.4,-76.4
1975,50.0,-75.0
1976,49.0,-76.1
1977,53.0,-74.1
1978,50.0,-78.0
1979,53.0,-76.3
1980,51.0,-74.1
1981,49.4,-74.1
1982,49.6,-82.2
1983,50.9,-75.2
1984,49.7,-74.9
1985,52.6,-74.9
1986,55.4,-78.8
1987,52.5,-68.3
1988,54.0,-58.8
1989,54.0,-60.1
1990,50.6,-58.8
1991,50.3,-60.4
1992,55.0,-57.1
1993,54.2,-61.6
1994,50.6,-60.0
1995,54.0,-54.4
1996,55.0,-61.1
1997,56.0,-79.9
1998,51.3,-79.6
1999,54.0,-79.8
2000,54.8,-79.0
2001,51.6,-78.9
2002,50.6,-50.0
2003,56.0,-79.9
2004,56.0,-79.9
2005,,
2006,54.7,-79.9
2007,52.5,-60.3
2008,54.1,-79.7
2009,53.0,-78.3
2010,52.5,-80.3
2011,55.0,-78.3
2012,56.0,-79.8
2013,52.0,-81.7
2014,54.2,-79.3
2015,51.4,-81.2
2016,52.0,-81.3
2017,54.0,-81.4
2018,51.3,-80.9
2019,54.4,-82.7
2020,52.1,-78.3
2021,51.0,-74.9
2022,53.9,-79.1
